id,name,description,steps,tools,notes,created_at,updated_at
12,nova-dashboard-update,SOP for updating the nova-dashboard GitHub repo (open source),"[""BEFORE ANY CHANGES: Review .gitignore - ensure it excludes: .htpasswd, .htaccess, status.json, anthropic.json, system.json"", ""ARCHITECTURE: Dashboard reads from JSON files populated by external scripts. Never embed API keys or credentials in HTML/JS."", ""MAKING CHANGES: Edit index.html or other source files. Never put secrets in source code."", ""PRE-COMMIT: The .githooks/pre-commit script auto-scans for secrets (sk-ant-, passwords, etc). Let it run."", ""IF HOOK BLOCKS: Review flagged files. Remove secrets. If false positive, document why before using --no-verify."", ""TESTING: Copy *.example.json to *.json locally to test. Never commit actual JSON data files."", ""COMMIT: Use descriptive messages. Push to origin/main."", ""POST-PUSH: Verify on GitHub that no secrets appear in the commit diff."", ""IF SECRET LEAKED: Immediately rotate the credential, then use git filter-branch or BFG to purge from history.""]","{git,gh}","Pre-commit hook automatically scans for secrets. Architecture ensures secrets come from external JSON files, not source code.",2026-02-03 18:12:30.220626,2026-02-03 18:12:30.220626
13,git-repo-creation,SOP for creating a new Git repository with security controls,"[""CREATE REPO: gh repo create [owner]/[name] --public|--private --description \""...\"" --clone"", ""INSTALL HOOKS: Run ~/clawd/scripts/git-security/install-hooks.sh /path/to/repo"", ""VERIFY .gitignore: Ensure it includes .env*, *.pem, *.key, .htpasswd, credentials.json, secrets.json"", ""ARCHITECTURE: Design so secrets come from environment variables, 1Password, or external config files - NEVER hardcoded"", ""ADD README: Include Security section documenting how credentials are managed"", ""FIRST COMMIT: Run git commit (hook will scan). Fix any issues before pushing."", ""VERIFY PUSH: After pushing, check GitHub diff view to confirm no secrets visible"", ""REGISTER PROJECT: Add to database with repo_url and git_config, then lock: UPDATE projects SET repo_url='https://github.com/...', git_config='...', locked=TRUE WHERE name='...';"", ""TRACK IN REPO: Use GitHub Issues for tasks/features. Database holds only the pointer and git_config metadata.""]","{git,gh,~/clawd/scripts/git-security/install-hooks.sh}","Pre-commit hook scans for: API keys (Anthropic, OpenAI, AWS, GitHub), private keys, passwords, .env files. Architecture principle: secrets from external sources only.",2026-02-03 18:14:56.718221,2026-02-03 18:14:56.718221
15,git-agent-instantiation,How to instantiate and task the ephemeral git-agent,"[""FETCH AGENT CONFIG: SELECT * FROM agents WHERE name = 'git-agent'"", ""IDENTIFY PROJECT: Get project_name, project_dir from context or user request"", ""FETCH PROJECT GIT CONFIG: SELECT git_config FROM projects WHERE name = '{project_name}'"", ""FETCH GIT SOPS: SELECT name, steps FROM sops WHERE name IN ('git-repo-creation', 'git-commit-conventions')"", ""BUILD CONTEXT: Combine seed_context files + project git_config + relevant SOPs"", ""SPAWN AGENT: sessions_spawn(task=\""{context_template}\\n\\nProject Git Config:\\n{git_config}\\n\\nSOPs:\\n{sops}\\n\\nTask: {user_task}\"", model=\""claude-sonnet-4\"", label=\""git-agent:{project_name}\"", cleanup=\""delete\"")"", ""MONITOR: Check sessions_list for completion or use sessions_history to review work""]","{sessions_spawn,psql,git}",,2026-02-05 11:47:11.266156,2026-02-05 11:47:11.266156
16,git-commit-conventions,Commit message format and Git workflow conventions,"[""FORMAT: Use Conventional Commits - type(scope): description"", ""TYPES: feat, fix, docs, style, refactor, test, chore, build, ci, perf"", ""SCOPE: Optional - component or area affected (e.g., api, ui, auth)"", ""DESCRIPTION: Imperative mood, lowercase, no period at end"", ""BODY: Optional - wrap at 72 chars, explain what and why"", ""BREAKING: Add BREAKING CHANGE: footer or ! after type for breaking changes"", ""EXAMPLES: feat(auth): add OAuth2 support | fix: resolve null pointer in parser | docs: update API reference"", ""PRE-COMMIT: Verify .gitignore includes: node_modules/, .env*, __pycache__/, venv/, build/, dist/, *.log"", ""IF MISTAKE: Use git rm -r --cached <path> to untrack, then commit the .gitignore fix""]",{git},"⚠️ ALWAYS verify .gitignore before committing! Common mistakes: node_modules/, .env, __pycache__/, venv/, build/, dist/. If accidentally committed, use: git rm -r --cached <dir> to remove from tracking.",2026-02-05 11:47:22.665589,2026-02-05 11:47:22.665589
17,nhr-agent-instantiation,How to instantiate and task the NHR (Non-Human Resources) agent designer,"[""GATHER REQUIREMENT: Get clear description of what capability is needed"", ""FETCH NHR CONFIG: SELECT * FROM agents WHERE name = 'nhr-agent'"", ""FETCH EXISTING AGENTS: SELECT name, role, persistent, model FROM agents WHERE status = 'active'"", ""FETCH INSTANTIATION SOPS: SELECT name, steps FROM sops WHERE name LIKE '%-instantiation'"", ""BUILD CONTEXT: Read DELEGATION.md, AGENTS.md, combine with DB results"", ""SPAWN NHR: sessions_spawn(task=\""{context_template}\\n\\nExisting Agents:\\n{agents}\\n\\nExisting Instantiation SOPs:\\n{sops}\\n\\nNew Agent Request:\\n{requirement}\"", model=\""claude-opus-4\"", label=\""nhr-agent:design\"", cleanup=\""delete\"")"", ""REVIEW OUTPUT: NHR will produce SQL INSERT statements for: agents table, sops table"", ""VALIDATE: Review the proposed agent design before executing SQL"", ""EXECUTE: Run the SQL to create the new agent and SOPs"", ""TEST: Instantiate the new agent with a sample task to verify""]","{sessions_spawn,psql,read}",,2026-02-05 12:11:17.636063,2026-02-05 12:11:17.636063
18,research-methodology,"Systematic research methodology for information gathering, source evaluation, and synthesis","{""1"": ""Begin with semantic search using proactive-recall.py to check existing knowledge"", ""2"": ""Perform web search with targeted queries using web_search tool"", ""3"": ""Evaluate and fetch promising sources using web_fetch tool"", ""4"": ""Assess source reliability using reliability criteria"", ""5"": ""Extract and synthesize key information with proper attribution"", ""6"": ""Document findings in memory system with source tracking"", ""7"": ""Provide comprehensive summary with source quality assessments""}","{web_search,web_fetch,exec,read,write}","Always start with semantic memory search. Prioritize recent, authoritative sources. Track source URLs and reliability scores.",2026-02-05 12:18:31.280054,2026-02-05 12:18:31.280054
19,source-reliability-assessment,Framework for evaluating information source credibility and reliability,"{""1"": ""Check domain authority and website reputation"", ""2"": ""Verify author credentials and expertise in subject area"", ""3"": ""Assess publication date and information freshness"", ""4"": ""Look for peer review, citations, or editorial oversight"", ""5"": ""Cross-reference claims with other authoritative sources"", ""6"": ""Check for potential bias or conflicts of interest"", ""7"": ""Score source reliability (1-5 scale) and document reasoning""}","{web_search,web_fetch}","Reliability Scale: 5=Peer-reviewed/Official, 4=Established media/Academia, 3=Professional blogs, 2=General websites, 1=Unverified/Biased. Always document the reasoning behind reliability scores.",2026-02-05 12:18:37.587642,2026-02-05 12:18:37.587642
20,research-citation-standards,Standards for documenting sources and maintaining research traceability,"{""1"": ""Record complete URL, title, author, and access date for each source"", ""2"": ""Include reliability score and assessment reasoning"", ""3"": ""Note specific sections or quotes used from each source"", ""4"": ""Store source metadata in memory_embeddings for future retrieval"", ""5"": ""Create event log entry for significant research findings"", ""6"": ""Format citations consistently in final output"", ""7"": ""Include source quality disclaimer in final summary""}","{write,exec}",Always provide source URLs and reliability scores. Store source evaluations in the database for future reference. Include disclaimer about source reliability in research outputs.,2026-02-05 12:18:44.050128,2026-02-05 12:18:44.050128
21,research-agent-instantiation,How to instantiate and task the research agent,"[""GATHER TOPIC: Get clear research question or topic from user"", ""CHECK EXISTING KNOWLEDGE: Run proactive-recall.py to find related memories"", ""FETCH AGENT CONFIG: SELECT * FROM agents WHERE name = 'research-agent'"", ""FETCH RESEARCH SOPS: SELECT name, steps FROM sops WHERE name IN ('research-methodology', 'source-reliability-assessment', 'research-citation-standards')"", ""BUILD CONTEXT: Combine semantic search results + SOPs + research question"", ""SPAWN AGENT: sessions_spawn(task=\""{context}\\n\\nResearch Question: {topic}\"", model=\""claude-sonnet-4-20250514\"", label=\""research-agent:{topic_slug}\"", cleanup=\""delete\"")"", ""REVIEW: Check findings, source reliability scores, citations"", ""PERSIST: Store key findings in database if significant""]","{sessions_spawn,psql,proactive-recall.py,web_search,web_fetch}",,2026-02-05 12:25:37.939139,2026-02-05 12:25:37.939139
22,nova-dashboard-html-update,How to update the NOVA Dashboard HTML and deploy changes,"[""EDIT: Make changes to ~/clawd/nova-dashboard/index.html (source file)"", ""COPY: cp ~/clawd/nova-dashboard/index.html ~/clawd/nova-dashboard/public/index.html"", ""RESTART: systemctl --user restart nova-dashboard"", ""VERIFY: systemctl --user status nova-dashboard (should be active/running)"", ""TEST: curl -s http://127.0.0.1:3847/ | grep -i \""your_change\"" to verify"", ""COMMIT: cd ~/clawd/nova-dashboard && git add -A && git commit -m \""feat: description\"" && git push""]","{systemctl,cp,curl,git}",,2026-02-05 13:43:32.869087,2026-02-05 13:43:32.869087
23,project-tracking,How to track projects - repo-backed vs database-only,"[""DETERMINE TYPE: Does this project have its own Git repo?"", ""IF REPO-BACKED: Track tasks/features/milestones in GitHub Issues. Database holds only: repo_url (permanent pointer), git_config (git agent metadata), basic status."", ""IF DATABASE-ONLY: Track everything in nova_memory: tasks table, project notes, etc."", ""LOCK REPO-BACKED: Set locked=TRUE to prevent accidental changes to the pointer. Must explicitly unlock to modify."", ""SINGLE SOURCE OF TRUTH: Never duplicate task tracking. Pick repo OR database, not both.""]",,Repo-backed projects use GitHub Issues. Database projects use tasks table. Never both - pick one source of truth.,2026-02-05 15:06:44.984431,2026-02-05 15:06:44.984431
24,confidence-gating,Protocol for external actions requiring 95% confidence before execution,"[""CLASSIFY: Is this thinking (internal) or action (external effect)?"", ""IF THINKING: Proceed freely - AI interfaces, memory, searches, reading, reasoning"", ""IF ACTION: Assess confidence level before proceeding"", ""IF INTERACTIVE (human present): State confidence + reasoning, wait for approval"", ""IF AUTONOMOUS (working alone): Proceed only if 95%+ confident, otherwise escalate"", ""WHEN UNCERTAIN: Treat as action, gather more info or ask human"", ""AFTER ACTION: Report results""]",,"External actions: shell commands modifying state, messages to others, social media, financial transactions, git pushes, external API calls. Thinking: AI models, memory access, searches, reading, reasoning.",2026-02-05 15:27:53.882006,2026-02-05 15:27:53.882006
25,librarian-agent-instantiation,How to spawn and task the Librarian Agent for media ingestion,"[""GATHER INPUT: Get URL, file path, or queue item ID to process"", ""FETCH AGENT CONFIG: SELECT * FROM agents WHERE name = 'librarian-agent'"", ""CHECK QUEUE (optional): SELECT * FROM v_media_queue_pending LIMIT 5"", ""CHECK DUPLICATES: SELECT id, title FROM media_consumed WHERE url = '{input_url}'"", ""IF DUPLICATE: Return existing record, skip spawning"", ""BUILD CONTEXT: Read SOUL.md and WORKFLOW.md from seed_context.files"", ""SPAWN AGENT: sessions_spawn(task=\""{context_template}\\n\\nPending Queue:\\n{queue_items}\\n\\nTask: Ingest this media: {input}\"", model=\""claude-sonnet-4-20250514\"", label=\""librarian:{media_slug}\"", cleanup=\""delete\"")"", ""MONITOR: Use sessions_list to check progress"", ""VERIFY: Confirm media_consumed record was created"", ""REPORT: Return media_consumed.id and summary to caller""]","{sessions_spawn,psql,read,web_fetch,exec}",Use for individual media items or batch queue processing. Agent handles deduplication internally.,2026-02-05 16:03:49.357337,2026-02-05 16:03:49.357337
26,media-transcription,Standard procedure for transcribing audio/video content,"[""CHECK FILE SIZE: ls -lh {file_path}"", ""IF > 25MB: Split into chunks using ffmpeg"", ""TRANSCRIBE: Use Whisper API or local whisper"", ""FORMAT: Add timestamps every 30-60 seconds"", ""DETECT SPEAKERS: Note speaker changes if multiple voices"", ""COMBINE: Merge chunked transcripts if split"", ""STORE: Save transcript to media_consumed.transcript""]","{exec,whisper,read,write}",,2026-02-05 16:03:49.359069,2026-02-05 16:03:49.359069
27,pdf-text-extraction,Standard procedure for extracting text from PDF documents,"[""CHECK PDF TYPE: pdfinfo {file_path}"", ""IF TEXT-BASED: pdftotext -layout {file_path} -"", ""IF SCANNED/IMAGE: Use OCR (tesseract) on extracted images"", ""PRESERVE STRUCTURE: Maintain chapters, sections, page breaks"", ""EXTRACT METADATA: Title, author, page count from PDF info"", ""STORE: Save extracted text to media_consumed.transcript or notes""]","{exec,read,write}",,2026-02-05 16:03:49.360496,2026-02-05 16:03:49.360496
28,scout-instantiation,Spawn Scout agent for research tasks. Auto-selects collaborative vs autonomous mode based on request characteristics.,"[""ANALYZE REQUEST: Evaluate user request for mode selection"", ""MODE DECISION: Check for collaborative triggers (vague, exploratory, open-ended, help me, lets) vs autonomous triggers (specific, clear deliverable, find out, research X)"", ""USER OVERRIDE: If user explicitly requests a mode, use that regardless of analysis"", ""FETCH AGENT CONFIG: SELECT * FROM agents WHERE name = 'scout-agent'"", ""CHECK EXISTING KNOWLEDGE: Run proactive-recall.py on research topic to find related memories"", ""BUILD COLLABORATIVE PROMPT: Work interactively with the user. Ask clarifying questions before deep research. Propose search strategies. Check in periodically."", ""BUILD AUTONOMOUS PROMPT: Complete this research independently. Evaluate sources, synthesize findings, report back with structured results. Only ask questions if truly stuck."", ""SPAWN AGENT: sessions_spawn(task={mode_prompt} + semantic_results + user_request, model=google/gemini-2.5-pro, label=scout:{topic_slug})"", ""MONITOR: For autonomous wait for completion. For collaborative inform user Scout is ready."", ""PERSIST: Store significant findings in database if valuable""]","{sessions_spawn,memory_search,web_search,web_fetch}","Mode selection: NOVA decides unless user specifies. Collaborative = interactive, autonomous = independent.",2026-02-05 17:20:10.675865,2026-02-05 17:20:10.675865
